NONWORKACTIVITIES	Consider volunteering from time to time. While volunteering helps others, it also helps you. Giving to others can help protect your mental and physical health. It can reduce stress, combat depression, keep you mentally stimulated, and provide a sense of purpose. Volunteers experience greater increases in life satisfaction and greater positive changes in their perceived health as a result of volunteering. In other words, the more we give, the happier we feel.   Consider spending more time helping others. Helping others also helps you and can yield many health benefits. It can reduce stress, combat depression, keep you mentally stimulated,  provide a sense of purpose and cam enables you to experience greater increases in life satisfaction and greater positive changes in your perceived health.
NONWORKGRAT	Recommendation coming soon!
NONWORKSTRESS	Recommendation coming soon!
WORKHOURS	Recommendation coming soon!
WORKCAR	Explore options to reduce the amount of time spend in your car each day. Consider telecommuting, ride sharing, riding your bike to work or using public transportation. The amount of time we spend commuting between work and home can have a serious impact on our physical and mental health. Lengthy commuting times have been linked to a wide range of health ailments, including hypertension and obesity. And research from a team of behavioral scientists has now linked time behind the wheel to lower life satisfaction.
WORKCOMP	Research has shown that working the amount that is right for us is most helpful. Most people work too much, but working less than you would like can also be a problem that can lead to stress. If you are working more than you would like consider cutting back on your work hours. To achieve a healthy blend of productivity, happiness, and time affluence, research suggests to work slightly below 40 hours per week. This would be similar to the number of hours worked in Denmark, consistently one of the world’s happiest countries. Research shows that productivity falls sharply after 50 hours per week, and drops off a cliff after 55 hours. Additionally, not taking at least one full day off per week leads to lower hourly output overall.  
WORKGRAT	Recommendation coming soon!
WORKSTRESS	Recommendation coming soon!
SLEEPHOURS	Make it a priority to get more sleep. Sleep is absolutely essential for your health. However, when life gets busy, it's often the first thing to get neglected or sacrificed. Good sleep is just as vital to good health as eating healthy foods or getting enough exercise. Getting enough quality sleep is necessary for various reasons, including maintaining your immune system and metabolic function, processing the day's memories and maintaining a normal body weight. How much sleep you need depends on many different factors, including your age, genetics and how well you sleep at night. 7–9 hours per night is ideal for most adults.
SLEEPSAT	Recommendation coming soon!
RELATIONSHIPS	Recommendation coming soon!
ANXIETYLVL	Reduce anxiety with lifestyle changes such as eating a well-balanced diet, limiting alcohol and caffeine, and taking time for yourself. Regular exercise can also help lower anxiety by releasing endorphins and improving your sleep and self-image. Consider supplements such as ashwagandha, omega-3 fatty acids, green tea and lemon balm. Practice mindfulness and deep breathing to help you to relax. 
DIRECTION	Recommendation coming soon!
ENERGYLVL	Recommendation coming soon!
OPTIMISM	Recommendation coming soon!
LIFECONTROL	Recommendation coming soon!
LIFESAT	Recommendation coming soon!
NEEDSMET	Recommendation coming soon!
OVERALLANXIETY	Reduce anxiety with lifestyle changes such as eating a well-balanced diet, limiting alcohol and caffeine, and taking time for yourself. Regular exercise can also help lower anxiety by releasing endorphins and improving your sleep and self-image. Consider supplements such as ashwagandha, omega-3 fatty acids, green tea and lemon balm. Proactive mindfulness and deep breathing help you to relax. 
OVERALLHAPPY	Increase your happiness by sticking with VIINC. Use your Vitality Index to get a better understanding of how you are doing and which areas in your life require attention. Track your progress over time by regularly updating your Vitality Index score and see how you feel.
OVERALLSAT	Recommendation coming soon!
OVERALLSTRESS	Stress symptoms may be affecting your health, even though you might not realize it. Stress can affect your body, your thoughts and feelings, and your behavior. Taking steps to manage your stress can have many health benefits. Explore stress management strategies, such as regular physical activity, practicing relaxation techniques, such as deep breathing, meditation, yoga, tai chi or massage, keeping a sense of humor and spending time with family and friends. Be sure to get plenty of sleep and eat a healthy, balanced diet. Avoid tobacco use, excess caffeine and alcohol.
